Population,Under15,Over60,FertilityRate,LifeExpectancy,ChildMortality,CellularSubscribers,LiteracyRate,PrimarySchoolEnrollmentMale,PrimarySchoolEnrollmentFemale,GNI
25203.0,45.38,5.01,5.34,53.0,89.7,32.83,85.62500000000001,94.6,93.075,970.0
52797.0,25.28,8.15,1.98,65.0,52.3,2.57,92.3,94.7,95.1,7870.0
2259.0,36.59,5.38,3.17,65.0,38.7,96.39,88.8,94.36249999999997,93.075,6560.0
10.0,30.1,8.84,2.4,71.0,37.1,65.0,91.8,94.7,95.1,7870.0
27474.0,35.58,7.65,2.5,68.0,41.6,43.81,85.62500000000001,94.7,95.1,1260.0
16714.0,17.21,23.02,1.76,81.0,4.1,97.745,91.8,94.7,95.1,31548.75
4460.0,20.26,19.01,2.1,81.0,5.7,109.19,91.8,95.06250000000001,96.67500000000003,7870.0
5992.0,33.37,6.59,2.59,73.0,24.4,82.15,91.8,94.36249999999997,94.5,3730.0
17157.0,49.99,4.26,6.654999999999999,56.0,113.5,29.52,91.8,94.36249999999997,93.075,720.0
58794.5,44.23,4.49,6.02,53.0,123.7,58.58,85.62500000000001,94.36249999999997,93.075,2290.0
1.0,30.61,9.07,2.4,72.0,25.1,97.745,91.8,94.7,95.1,7870.0
4994.0,18.64,21.41,1.93,81.0,2.8,115.62,91.8,95.06250000000001,96.67500000000003,31548.75
3314.0,24.19,3.99,2.9,72.0,11.6,168.97,91.8,94.7,95.1,7870.0
58794.5,34.31,6.44,3.35,67.0,85.9,61.61,91.8,94.36249999999997,93.075,2870.0
21.0,30.1,8.84,2.4,72.0,20.8,74.94,91.8,94.7,95.1,11080.0
3802.0,28.65,10.13,2.52,77.0,18.5,188.6,94.1,95.06250000000001,96.67500000000003,14510.0
7167.0,38.37,4.79,3.9,63.0,63.0,34.22,85.62500000000001,94.7,95.1,2570.0
6687.0,32.78,8.01,2.93,75.0,22.0,99.4,93.9,94.36249999999997,93.075,5390.0
29988.0,29.18,9.12,2.48,77.0,18.2,110.41,91.8,95.06250000000001,96.67500000000003,9440.0
58794.5,34.53,6.21,3.11,69.0,29.8,99.3,91.8,94.7,95.1,4140.0
38211.0,14.91,20.48,1.39,76.0,5.0,130.97,96.02499999999999,95.06250000000001,96.67500000000003,20430.0
10604.0,14.92,24.39,1.33,80.0,3.6,115.39,95.2,95.06250000000001,96.67500000000003,24440.0
2051.0,13.28,1.73,2.06,82.0,7.4,123.11,96.02499999999999,95.06250000000001,96.6,31548.75
49003.0,15.25,16.58,1.29,81.0,3.8,108.5,91.8,95.06250000000001,96.67500000000003,30370.0
3514.0,16.52,16.72,1.47,71.0,17.6,104.8,96.02499999999999,94.36249999999997,93.075,3640.0
21755.0,15.05,20.66,1.39,74.0,12.2,109.16,96.02499999999999,94.36249999999997,93.075,15120.0
58794.5,15.45,18.6,1.51,69.0,10.3,179.31,96.02499999999999,94.7,95.1,20560.0
11458.0,43.56,3.94,4.73,60.0,55.0,40.63,85.62500000000001,94.7,95.1,1270.0
54.0,25.96,12.35,2.4,74.0,9.2,97.745,91.8,94.36249999999997,93.075,16470.0
181.0,24.31,12.13,1.96,75.0,17.5,123.0,91.8,94.36249999999997,93.075,11220.0
109.0,25.7,9.92,2.05,74.0,23.4,120.52,91.8,94.7,95.1,10440.0
189.0,37.88,7.39,4.28,73.0,17.8,97.745,96.02499999999999,94.36249999999997,96.67500000000003,4270.0
31.0,14.04,26.97,2.4,83.0,3.3,111.75,91.8,94.7,95.1,7870.0
188.0,41.6,4.76,4.22,63.0,53.2,68.26,89.2,94.7,95.1,2080.0
28288.0,29.69,4.59,2.76,76.0,8.6,191.24,86.6,95.06250000000001,96.5,24700.0
13726.0,43.54,4.57,5.02,61.0,59.6,73.25,91.8,94.36249999999997,93.075,1940.0
9553.0,16.45,20.52,1.37,74.0,6.6,125.39,96.02499999999999,94.7,94.4,11540.0
92.0,21.95,10.05,2.23,74.0,13.1,145.71,91.8,94.7,95.1,25140.0
5979.0,41.74,4.41,4.86,47.0,127.29999999999998,35.63,85.62500000000001,94.7,95.1,840.0
5303.0,16.48,15.13,1.27,82.0,2.9,150.24,95.9,94.7,95.1,31548.75
5446.0,15.0,18.6,1.37,76.0,7.5,109.35,91.8,94.7,95.1,22130.0
2068.0,14.16,23.16,1.49,80.0,3.1,106.56,96.02499999999999,95.06250000000001,96.67500000000003,26510.0
550.0,40.37,5.1,4.17,70.0,31.1,49.77,91.8,94.36249999999997,93.075,2350.0
10195.0,47.35,4.46,6.654999999999999,50.0,127.29999999999998,6.85,91.8,94.7,95.1,7870.0
52386.0,29.53,8.44,2.44,58.0,44.6,126.83,91.8,94.7,95.1,10710.0
10838.0,42.28,5.26,5.1,54.0,104.0,97.745,91.8,94.7,95.1,7870.0
46755.0,15.2,22.86,1.47,82.0,4.5,113.22,96.02499999999999,95.06250000000001,96.67500000000003,31400.0
21098.0,25.15,12.4,2.35,75.0,9.6,87.05,91.2,94.36249999999997,94.4,5520.0
37195.0,41.48,4.99,4.56,62.0,73.1,56.14,85.62500000000001,94.7,95.1,2120.0
535.0,27.83,9.55,2.32,72.0,20.8,178.88,94.7,94.7,95.1,7870.0
1231.0,38.05,5.34,3.48,50.0,79.7,63.7,87.4,94.7,95.1,5930.0
9511.0,16.71,25.32,1.93,82.0,2.9,118.57,91.8,95.06250000000001,96.67500000000003,31548.75
7997.0,14.79,23.25,1.51,83.0,4.3,131.43,91.8,95.06250000000001,96.67500000000003,31548.75
21890.0,35.35,6.09,3.04,75.0,15.1,63.17,85.62500000000001,94.7,95.1,7870.0
8009.0,35.75,4.8,3.81,68.0,58.3,90.64,96.02499999999999,95.06250000000001,96.0,2300.0
58794.5,18.47,13.96,1.43,74.0,13.2,111.63,91.8,94.7,95.1,8360.0
2106.0,16.89,17.56,1.44,75.0,7.4,107.24,96.02499999999999,95.06250000000001,96.67500000000003,11090.0
1114.0,46.33,5.16,6.11,64.0,56.7,53.23,85.62500000000001,94.36249999999997,93.075,7870.0
6643.0,41.89,4.44,4.75,56.0,95.5,50.45,91.8,94.7,95.1,1040.0
105.0,37.33,7.96,3.86,72.0,12.8,52.63,91.8,94.7,95.1,5000.0
1337.0,20.73,13.18,1.8,71.0,20.7,135.64,96.02499999999999,95.06250000000001,96.67500000000003,7870.0
10875.0,23.22,10.49,2.04,76.0,16.1,116.93,91.8,94.7,95.1,9030.0
58794.5,26.0,10.56,2.08,76.0,14.2,88.7,91.8,95.06250000000001,96.67500000000003,16940.0
5173.0,28.65,6.3,2.38,63.0,52.8,68.77,96.02499999999999,94.7,95.1,8690.0
10.0,30.61,9.07,2.4,64.0,29.7,21.63,91.8,94.7,95.1,7870.0
36346.0,48.54,3.72,6.06,56.0,68.9,48.38,85.62500000000001,94.36249999999997,93.075,1310.0
45530.0,14.18,20.76,1.45,71.0,10.7,122.98,96.02499999999999,94.36249999999997,93.075,7040.0
9206.0,14.41,0.81,1.84,76.0,8.4,148.62,91.8,94.7,95.1,31548.75
58794.5,17.54,23.06,1.9,80.0,4.8,130.75,91.8,95.06250000000001,96.67500000000003,31548.75
47783.0,44.85,4.89,5.36,59.0,54.0,55.53,85.62500000000001,94.7,95.1,1500.0
58794.5,19.63,19.31,2.0,79.0,7.1,92.72,91.8,95.06250000000001,96.1,31548.75
3395.0,22.05,18.59,2.07,77.0,7.2,140.75,96.02499999999999,94.7,95.1,14640.0
28541.0,28.9,6.38,2.38,68.0,39.6,91.65,96.02499999999999,94.36249999999997,93.075,3420.0
247.0,37.37,6.02,3.46,72.0,17.9,55.76,85.62500000000001,94.7,95.1,4330.0
29955.0,28.84,9.17,2.44,75.0,15.3,97.78,91.8,94.7,95.1,12430.0
58794.5,22.87,9.32,1.79,75.0,23.0,143.39,93.2,94.7,95.1,3250.0
23852.0,40.72,4.54,4.35,64.0,60.0,47.05,85.62500000000001,94.36249999999997,93.075,2170.0
14075.0,46.73,3.95,5.77,55.0,88.5,60.59,85.62500000000001,94.36249999999997,93.9,1490.0
13724.0,40.24,5.68,3.64,54.0,89.8,72.13,92.2,94.7,95.1,7870.0
