Population,Under15,Over60,FertilityRate,LifeExpectancy,ChildMortality,CellularSubscribers,LiteracyRate,PrimarySchoolEnrollmentMale,PrimarySchoolEnrollmentFemale,GNI
29825.0,47.42,3.82,5.4,60.0,98.5,54.26,91.8,94.7,95.1,1140.0
3162.0,21.33,14.93,1.75,74.0,16.7,96.39,91.8,94.7,95.1,8820.0
38482.0,27.42,7.17,2.83,73.0,20.0,98.99,91.8,95.06250000000001,96.4,8310.0
78.0,15.2,22.86,2.4,82.0,3.2,75.49,91.8,94.36249999999997,93.075,7870.0
20821.0,47.58,3.84,6.1,51.0,127.29999999999998,48.38,85.62500000000001,94.36249999999997,93.075,5230.0
89.0,25.96,12.35,2.12,75.0,9.9,195.86374999999998,96.02499999999999,94.36249999999997,93.075,17900.0
41087.0,24.42,14.97,2.2,76.0,14.2,134.92,96.02499999999999,94.7,95.1,17130.0
2969.0,20.34,14.06,1.74,71.0,16.4,103.57,96.02499999999999,94.7,95.1,6100.0
23050.0,18.95,19.46,1.89,82.0,4.9,108.34,91.8,95.06250000000001,96.67500000000003,31548.75
8464.0,14.51,23.52,1.44,81.0,4.0,154.78,91.8,94.7,95.1,31548.75
9309.0,22.25,8.24,1.96,71.0,35.2,108.75,91.8,94.36249999999997,93.075,8960.0
372.0,21.62,11.24,1.9,75.0,16.9,86.06,91.8,94.7,95.1,7870.0
1318.0,20.16,3.38,2.12,79.0,9.6,127.96,91.9,94.7,95.1,7870.0
58794.5,30.57,6.89,2.24,70.0,40.9,56.06,85.62500000000001,94.7,95.1,1940.0
283.0,18.99,15.78,1.84,78.0,18.4,127.01,91.8,94.7,95.1,7870.0
9405.0,15.1,19.31,1.47,71.0,5.2,111.88,91.8,94.7,95.1,14460.0
11060.0,16.88,23.81,1.85,80.0,4.2,116.61,91.8,95.06250000000001,96.67500000000003,31548.75
324.0,34.4,5.74,2.76,74.0,18.3,69.96,91.8,94.7,95.1,6090.0
10051.0,42.95,4.54,5.01,57.0,89.5,85.33,85.62500000000001,94.7,95.1,1620.0
742.0,28.53,6.9,2.32,67.0,44.6,65.58,91.8,94.36249999999997,93.075,5570.0
10496.0,35.23,7.28,3.31,67.0,41.4,82.82,91.8,94.36249999999997,93.075,4890.0
3834.0,16.35,20.52,1.26,76.0,6.7,84.52,96.02499999999999,94.36249999999997,93.075,9190.0
2004.0,33.75,5.63,2.71,66.0,53.3,142.82,85.62500000000001,94.7,95.1,14550.0
58794.5,24.56,10.81,1.82,74.0,14.4,124.26,91.8,94.7,95.1,11420.0
412.0,25.75,7.03,2.03,77.0,8.0,109.17,95.2,94.7,95.1,7870.0
7278.0,13.53,26.11,1.51,74.0,12.1,140.68,91.8,95.06250000000001,96.67500000000003,14160.0
16460.0,45.66,3.88,5.78,56.0,102.4,45.27,91.8,94.36249999999997,93.075,1300.0
9850.0,44.2,3.87,6.21,53.0,104.3,22.33,85.62500000000001,94.7,95.1,610.0
14865.0,31.23,7.67,2.93,65.0,39.7,96.17,91.8,95.06250000000001,95.4,2230.0
21700.0,43.08,4.89,4.94,53.0,94.9,52.35,91.8,95.06250000000001,93.075,2330.0
34838.0,16.37,20.82,1.66,82.0,5.3,79.73,91.8,94.7,95.1,31548.75
494.0,30.17,7.05,2.38,72.0,22.2,79.19,85.62500000000001,94.6,93.075,3980.0
4525.0,40.07,5.74,4.54,48.0,127.29999999999998,40.65,85.62500000000001,94.36249999999997,93.075,810.0
12448.0,48.52,3.8,6.49,51.0,127.29999999999998,31.8,85.62500000000001,94.7,95.1,1360.0
17465.0,21.38,13.8,1.84,79.0,9.1,129.71,91.8,94.36249999999997,94.4,16330.0
58794.5,17.95,13.42,1.66,76.0,14.0,73.19,94.3,94.7,95.1,8390.0
47704.0,28.03,9.19,2.35,78.0,17.6,98.45,93.4,94.36249999999997,93.075,9560.0
718.0,42.17,4.5,4.85,62.0,77.6,28.71,85.62500000000001,94.7,95.1,1110.0
4337.0,42.37,5.13,5.05,58.0,96.0,93.84,91.8,94.36249999999997,93.075,3240.0
21.0,30.61,9.07,2.4,77.0,10.6,97.745,91.8,95.06250000000001,96.67500000000003,7870.0
4805.0,23.94,10.15,1.83,79.0,9.9,92.2,96.02499999999999,94.7,95.1,11860.0
19840.0,41.48,5.1,4.91,56.0,107.6,86.06,85.62500000000001,94.7,95.1,1710.0
4307.0,14.98,24.69,1.48,77.0,4.7,116.37,96.02499999999999,94.8,96.67500000000003,18760.0
11271.0,16.58,17.95,1.46,78.0,5.5,11.69,96.02499999999999,95.06250000000001,96.67500000000003,7870.0
1129.0,17.16,16.92,1.47,81.0,3.2,97.71,96.02499999999999,95.06250000000001,96.67500000000003,7870.0
10660.0,14.56,23.23,1.53,78.0,3.8,123.44,91.8,94.7,95.1,24370.0
24763.0,21.98,12.74,2.0,69.0,28.8,4.09,91.8,94.7,95.1,7870.0
58794.5,45.11,4.51,6.15,49.0,127.29999999999998,23.09,85.62500000000001,94.7,95.1,340.0
5598.0,17.66,23.9,1.88,79.0,3.7,128.47,91.8,94.8,96.67500000000003,31548.75
860.0,33.72,5.96,3.53,58.0,80.9,21.32,91.8,94.7,95.1,7870.0
72.0,25.96,12.35,2.4,74.0,12.6,164.02,91.8,94.7,95.1,13000.0
10277.0,30.53,8.97,2.55,73.0,27.1,87.22,89.5,95.06250000000001,93.075,9420.0
15492.0,30.29,9.21,2.62,76.0,23.3,104.55,91.9,94.7,95.1,8510.0
58794.5,31.25,8.62,2.85,73.0,21.0,101.08,85.62500000000001,94.7,95.1,6120.0
6297.0,30.62,9.64,2.24,72.0,15.9,133.54,85.62500000000001,95.06250000000001,95.5,6640.0
736.0,38.95,4.53,5.04,54.0,100.3,59.15,93.9,94.36249999999997,93.075,25620.0
6131.0,43.1,3.73,4.88,61.0,51.8,4.47,85.62500000000001,94.36249999999997,93.075,580.0
1291.0,15.69,23.92,1.62,76.0,3.6,138.98,96.02499999999999,95.06250000000001,96.67500000000003,20850.0
58794.5,43.29,5.17,4.77,60.0,68.3,16.67,91.8,94.36249999999997,93.075,1110.0
875.0,28.88,8.38,2.64,70.0,22.4,83.72,91.8,94.7,95.1,4610.0
5408.0,16.42,25.9,1.85,81.0,2.9,166.02,91.8,95.06250000000001,96.67500000000003,31548.75
58794.5,18.26,23.82,1.98,82.0,4.1,94.79,91.8,95.06250000000001,96.67500000000003,31548.75
1633.0,38.49,7.38,4.18,62.0,62.0,117.32,88.4,94.7,95.1,13740.0
1791.0,45.9,3.72,5.79,58.0,72.9,78.89,85.62500000000001,94.36249999999997,93.075,1750.0
4358.0,17.62,19.47,1.82,72.0,19.9,102.31,96.02499999999999,94.7,95.1,5350.0
58794.5,13.17,26.72,1.4,81.0,4.1,132.3,91.8,94.7,95.1,31548.75
25366.0,38.59,5.4,3.99,64.0,72.0,84.78,85.62500000000001,94.7,95.1,1810.0
11125.0,14.6,25.41,1.51,81.0,4.8,106.48,96.02499999999999,95.06250000000001,96.67500000000003,25100.0
105.0,26.96,9.72,2.22,74.0,13.5,97.745,91.8,94.7,95.1,10350.0
15083.0,40.8,6.56,3.91,69.0,32.0,140.38,85.62500000000001,95.06250000000001,96.67500000000003,4760.0
11451.0,42.46,5.03,5.09,55.0,101.2,44.02,85.62500000000001,94.36249999999997,93.075,1020.0
1664.0,41.55,5.06,5.05,50.0,127.29999999999998,56.18,85.62500000000001,94.36249999999997,93.075,1240.0
795.0,36.77,5.18,2.64,63.0,35.2,69.94,91.8,94.36249999999997,93.075,7870.0
10174.0,35.35,6.7,3.28,63.0,75.6,41.49,91.8,94.7,95.1,1180.0
7936.0,35.72,6.41,3.1,74.0,22.9,103.97,85.62500000000001,94.8,96.67500000000003,3820.0
9976.0,14.62,23.41,1.38,75.0,6.2,117.3,96.02499999999999,95.06250000000001,96.67500000000003,20310.0
326.0,20.71,17.62,2.11,82.0,2.3,106.08,91.8,95.06250000000001,96.67500000000003,31020.0
58794.5,29.43,8.1,2.53,65.0,56.3,72.0,91.8,94.7,95.1,3590.0
58794.5,29.27,7.86,2.4,69.0,31.0,103.09,91.8,94.7,95.1,4500.0
58794.5,23.68,7.82,1.91,73.0,17.6,74.93,91.8,94.7,95.1,7870.0
32778.0,40.51,4.95,4.15,69.0,34.4,78.12,85.62500000000001,94.7,95.1,3750.0
4576.0,21.54,16.59,2.0,81.0,4.0,108.41,91.8,95.06250000000001,96.67500000000003,31548.75
7644.0,27.53,15.15,2.92,82.0,4.2,121.66,91.8,95.06250000000001,96.67500000000003,27110.0
58794.5,14.04,26.97,1.45,82.0,3.8,157.93,96.02499999999999,95.06250000000001,96.67500000000003,31548.75
2769.0,27.78,10.98,2.31,75.0,16.8,108.12,86.6,94.36249999999997,93.075,7870.0
58794.5,13.12,31.92,1.39,83.0,3.0,104.95,91.8,94.7,95.1,31548.75
7009.0,34.13,5.3,3.39,74.0,19.1,118.2,92.6,94.36249999999997,93.075,5930.0
16271.0,25.46,10.04,2.52,67.0,18.7,155.74,96.02499999999999,94.7,95.1,11250.0
43178.0,42.37,4.25,4.54,60.0,72.9,67.49,87.4,94.7,95.1,1710.0
101.0,30.1,8.84,3.01,67.0,59.9,13.64,91.8,94.7,95.1,3300.0
3250.0,24.9,3.8,2.65,80.0,11.0,175.09,91.8,94.7,95.1,7870.0
5474.0,30.21,6.34,3.03,69.0,26.6,116.4,91.8,95.06250000000001,95.1,2180.0
6646.0,35.61,5.76,3.2,68.0,71.8,87.16,91.8,95.06250000000001,95.4,2580.0
2060.0,14.57,24.24,1.57,74.0,8.7,102.94,96.02499999999999,95.0,96.67500000000003,17700.0
4647.0,21.64,12.03,1.5,74.0,9.3,78.65,91.8,94.36249999999997,93.075,14470.0
2052.0,36.75,6.31,3.15,50.0,99.6,56.17,89.6,94.36249999999997,93.075,2050.0
4190.0,43.06,4.76,4.95,59.0,74.8,49.17,85.62500000000001,94.7,95.1,540.0
6155.0,29.45,6.96,2.47,65.0,15.4,155.7,89.2,94.7,95.1,7870.0
3028.0,15.13,20.57,1.49,74.0,5.4,151.3,96.02499999999999,95.06250000000001,95.8,19640.0
524.0,17.46,19.15,1.65,82.0,2.2,148.27,91.8,94.36249999999997,95.7,31548.75
22294.0,42.72,4.45,4.59,66.0,58.2,40.65,91.8,94.7,95.1,950.0
15906.0,45.44,4.92,5.55,58.0,71.0,25.69,85.62500000000001,94.7,95.1,870.0
29240.0,26.65,8.21,1.99,74.0,8.5,127.04,93.1,94.7,95.1,15650.0
338.0,29.03,6.65,2.31,77.0,10.5,165.72,91.8,95.06250000000001,96.5,7430.0
14854.0,47.14,4.29,6.654999999999999,51.0,127.29999999999998,68.32,85.62500000000001,94.36249999999997,93.075,1040.0
428.0,14.98,22.87,1.37,80.0,6.8,124.86,91.8,94.36249999999997,94.3,7870.0
53.0,30.1,8.84,2.4,60.0,37.9,97.745,91.8,94.7,95.1,7870.0
3796.0,40.22,4.94,4.78,59.0,84.0,93.6,85.62500000000001,94.36249999999997,93.075,2400.0
1240.0,20.17,13.23,1.51,74.0,15.1,99.04,88.5,94.7,95.1,14330.0
58794.5,29.02,9.18,2.25,75.0,16.2,82.38,93.1,95.06250000000001,96.67500000000003,15390.0
103.0,35.81,6.67,3.4,69.0,38.5,97.745,91.8,94.7,95.1,3580.0
38.0,18.26,23.82,2.4,82.0,3.8,89.73,91.8,94.7,95.1,7870.0
2796.0,27.05,5.8,2.45,68.0,27.5,105.08,96.02499999999999,95.06250000000001,96.67500000000003,4290.0
621.0,19.01,18.58,1.69,76.0,5.9,97.745,96.02499999999999,94.7,95.1,13700.0
32521.0,27.85,7.61,2.65,72.0,31.1,113.26,91.8,94.7,95.1,4880.0
